
# Development Desktop 2.0 Beta
# Data Export for Sensor : BHI160
# Start: 2022-11-16 오후 4:25:17
SensorTime(WakeUp),SensorTime(NonWakeUp),Accel(NonWakeUp) - X axis - M/s2,Accel(NonWakeUp) - Y axis - M/s2,Accel(NonWakeUp) - Z axis - M/s2,Mag(NonWakeUp) - X axis - uT,Mag(NonWakeUp) - Y axis - uT,Mag(NonWakeUp) - Z axis - uT,Gyro(NonWakeUp) - X axis - deg/sec,Gyro(NonWakeUp) - Y axis - deg/sec,Gyro(NonWakeUp) - Z axis - deg/sec,MetaEvents (NonWakeUp) - Name,MetaEvents (NonWakeUp) - Byte 1,MetaEvents (NonWakeUp) - Byte 2,MetaEvents (WakeUp) - Name,MetaEvents (WakeUp) - Byte 1,MetaEvents (WakeUp) - Byte 2,
*,494.48193750,0.5471,2.0076,8.4003,*,*,*,-80.5625,43.9375,-30.6875,*,*,*,*,*,*,
*,494.50184375,0.8607,1.9034,9.1749,-4.8462,-15.6154,-10.0769,-87.4375,28.5625,-39.5625,*,*,*,*,*,*,
*,494.52178125,1.4306,2.0663,8.4159,*,*,*,-95.6250,1.0625,-37.4375,*,*,*,*,*,*,
*,494.54168750,1.6652,1.3623,6.6848,-3.0000,-14.6923,-11.0000,-78.6875,-7.1875,-24.1250,*,*,*,*,*,*,
*,494.56162500,2.1010,1.5240,7.3396,*,*,*,-46.8750,12.2500,-14.0000,*,*,*,*,*,*,
*,494.58153125,1.9693,1.7227,8.7140,-1.7692,-14.3846,-12.5385,-41.3750,21.5000,-7.3125,*,*,*,*,*,*,
*,494.60146875,1.1205,1.7813,8.7295,*,*,*,-32.8750,8.8750,-5.5000,*,*,*,*,*,*,
*,494.62137500,0.6393,1.8029,9.0312,-3.3077,-13.7692,-12.2308,-22.1250,-12.3125,-11.1250,*,*,*,*,*,*,
*,494.64131250,1.1959,1.6808,8.9821,*,*,*,-20.8125,-10.1250,-16.0000,*,*,*,*,*,*,
*,494.66121875,1.6868,1.5347,9.3149,-2.0769,-13.4615,-12.8462,-17.8125,5.8125,-13.8125,*,*,*,*,*,*,
*,494.68115625,1.5467,1.3659,9.1713,*,*,*,-16.0625,7.7500,-4.6875,*,*,*,*,*,*,
*,494.70106250,1.0846,1.0619,8.9642,-2.0769,-13.4615,-12.5385,-11.8125,6.3125,0.0000,*,*,*,*,*,*,
*,494.72100000,0.5435,1.1971,9.8105,*,*,*,-9.4375,8.3750,0.7500,*,*,*,*,*,*,
*,494.74090625,0.5495,1.2953,9.8632,-2.0769,-13.4615,-12.8462,-12.3750,2.3125,-4.4375,*,*,*,*,*,*,
*,494.76084375,1.3121,1.2941,9.8584,*,*,*,-16.3750,1.3750,-3.7500,*,*,*,*,*,*,
*,494.78075000,1.2726,1.3599,10.6306,-3.0000,-13.7692,-13.8462,-17.5625,3.5000,1.5625,*,*,*,*,*,*,
*,494.80065625,0.8332,1.4845,10.2906,*,*,*,-25.2500,0.6250,1.9375,*,*,*,*,*,*,
*,494.82059375,1.1684,1.4677,8.8887,-1.7692,-13.7692,-12.9231,-25.1875,-3.1875,-3.0000,*,*,*,*,*,*,
*,494.84050000,1.1756,1.1828,8.8468,*,*,*,-9.7500,-1.3125,0.0000,*,*,*,*,*,*,
*,494.86043750,1.4713,1.0762,10.0787,-1.7692,-12.4615,-13.2308,-3.0625,-2.8750,5.1250,*,*,*,*,*,*,
*,494.88034375,1.0439,1.0212,10.7024,*,*,*,-11.3125,1.8125,10.1875,*,*,*,*,*,*,
*,494.90028125,0.1700,0.9984,10.4151,-2.0769,-12.4615,-14.1538,-21.6875,4.8125,4.4375,*,*,*,*,*,*,
*,494.92018750,0.6309,0.8775,9.3748,*,*,*,-25.8125,12.0000,-4.4375,*,*,*,*,*,*,
*,494.94009375,0.8500,0.9577,9.3664,-2.0769,-11.8462,-13.8462,-18.3750,15.2500,-4.9375,*,*,*,*,*,*,
*,494.96003125,1.3576,0.9278,9.4454,*,*,*,-12.8125,6.8750,-0.5625,*,*,*,*,*,*,
*,494.97993750,0.8775,0.8320,10.3684,-1.7692,-11.8462,-14.4615,-10.1875,0.0625,5.5625,*,*,*,*,*,*,
*,494.99987500,0.2346,0.9194,10.5228,*,*,*,-21.8125,8.2500,-0.9375,*,*,*,*,*,*,
*,495.01978125,0.3998,0.8811,9.7136,-1.7692,-12.4615,-14.4615,-27.1875,18.0625,-10.3750,*,*,*,*,*,*,
*,495.03971875,1.3145,1.0523,8.9606,*,*,*,-19.1875,1.5000,-7.6875,*,*,*,*,*,*,
*,495.05962500,1.1912,0.5196,8.8229,-1.4615,-12.4615,-14.1538,-3.2500,-10.9375,3.8125,*,*,*,*,*,*,
*,495.07956250,0.1544,0.4382,9.8117,*,*,*,3.9375,-6.3750,6.0625,*,*,*,*,*,*,
*,495.09946875,0.3555,0.4777,9.7698,-2.6923,-11.5385,-14.7692,-2.1250,0.5000,-3.5000,*,*,*,*,*,*,
*,495.11940625,0.8835,0.7279,9.5256,*,*,*,-2.2500,9.3125,-7.1250,*,*,*,*,*,*,
*,495.13931250,1.3252,0.7075,9.3281,-1.4615,-11.8462,-14.4615,5.3125,3.0000,-2.2500,*,*,*,*,*,*,
*,495.15921875,0.9014,0.7015,10.4869,*,*,*,11.0000,-2.4375,6.3750,*,*,*,*,*,*,
*,495.17915625,0.1580,0.6357,10.5384,-2.0769,-11.5385,-15.0769,5.6250,-5.7500,5.3125,*,*,*,*,*,*,
*,495.19906250,0.1820,0.7458,10.3804,*,*,*,1.4375,4.1250,-3.3750,*,*,*,*,*,*,
*,495.21900000,0.9601,0.7638,10.2655,-1.4615,-11.8462,-14.4615,1.8125,10.9375,-7.6875,*,*,*,*,*,*,
*,495.23890625,1.8520,0.9517,11.1070,*,*,*,6.4375,10.2500,-0.6875,*,*,*,*,*,*,
*,495.25884375,0.4633,1.1301,13.5731,-1.4615,-11.8462,-14.1538,-4.7500,8.1250,8.6875,*,*,*,*,*,*,
*,495.27875000,0.1413,1.6365,12.8118,*,*,*,-35.8750,-18.3125,1.2500,*,*,*,*,*,*,
*,495.29868750,1.1816,1.4497,11.4255,-1.4615,-11.8462,-15.0769,-46.9375,-8.1250,-4.6250,*,*,*,*,*,*,
*,495.31862500,1.9561,1.3623,13.9550,*,*,*,-67.2500,18.8750,-2.2500,*,*,*,*,*,*,
*,495.33853125,1.0319,1.2007,13.2906,-2.0769,-10.9231,-15.3846,-113.7500,7.0000,4.3750,*,*,*,*,*,*,
*,495.35846875,1.2750,0.3220,9.9135,*,*,*,-140.6875,-7.5625,4.1875,*,*,*,*,*,*,
*,495.37837500,1.1804,-0.4585,8.3500,-1.4615,-10.0000,-15.3846,-150.8125,9.0000,6.1875,*,*,*,*,*,*,
*,495.39831250,0.7614,-1.5204,6.7028,*,*,*,-175.7500,21.9375,11.1875,*,*,*,*,*,*,
*,495.41821875,0.9050,-2.5882,3.1437,-1.7692,-8.1538,-16.6154,-197.5000,24.0625,16.6875,*,*,*,*,*,*,
*,495.43815625,1.7885,-2.6361,-2.4769,*,*,*,-184.0625,17.4375,17.6875,*,*,*,*,*,*,
*,495.45809375,2.8133,-3.3149,-10.1026,-1.4615,-6.9231,-17.5385,-123.2500,-6.7500,32.4375,*,*,*,*,*,*,
*,495.47800000,-0.0215,-3.9350,-19.8928,*,*,*,-39.2500,5.8750,53.8125,*,*,*,*,*,*,
*,495.49793750,-1.8843,-1.8376,-38.5885,-1.4615,-4.4615,-18.1538,142.4375,-42.0000,30.7500,*,*,*,*,*,*,
*,495.51784375,0.7710,8.3596,-38.9489,*,*,*,527.0000,-82.5625,-20.8750,*,*,*,*,*,*,
*,495.53778125,7.5300,26.0509,-23.6902,-1.7692,-4.4615,-18.1538,825.7500,-130.2500,-20.5000,*,*,*,*,*,*,
*,495.55771875,12.3209,38.2845,-5.9402,*,*,*,920.1250,-167.2500,25.5625,*,*,*,*,*,*,
*,495.57762500,0.9374,39.1799,8.7906,-3.0000,-12.8462,-12.6154,963.3750,-161.3125,34.9375,*,*,*,*,*,*,
*,495.59756250,-3.2047,39.2242,9.6058,*,*,*,907.8125,-11.0625,-92.1250,*,*,*,*,*,*,
*,495.61750000,11.6302,39.2230,24.8322,-3.3077,-19.3077,-1.4615,738.3750,168.7500,-84.8125,*,*,*,*,*,*,
*,495.63740625,9.2742,39.2242,39.2242,*,*,*,467.3125,197.8125,65.2500,*,*,*,*,*,*,
*,495.65734375,1.7526,37.0035,36.4229,-3.6154,-18.3846,8.3846,160.8125,-42.0000,142.0000,*,*,*,*,*,*,
*,495.67728125,-2.9833,31.3219,19.5983,*,*,*,-35.0625,-100.2500,101.8125,*,*,*,*,*,*,
*,495.69718750,-0.0096,28.3614,11.3740,-3.3077,-15.3077,12.3846,-91.8750,-75.4375,9.6875,*,*,*,*,*,*,
*,495.71712500,4.3839,26.2556,12.2132,*,*,*,-143.4375,12.4375,-13.1250,*,*,*,*,*,*,
*,495.73706250,3.4418,25.3973,17.6530,-3.6154,-16.2308,12.0000,-237.1875,48.7500,4.8750,*,*,*,*,*,*,
*,495.75696875,-1.3719,23.9152,17.9223,*,*,*,-390.8750,20.1875,-4.3750,*,*,*,*,*,*,
*,495.77690625,-1.7885,22.8366,10.6198,-4.5385,-17.4615,8.9231,-518.5625,-15.8125,-60.3750,*,*,*,*,*,*,
*,495.79681250,1.6401,21.3737,2.9222,*,*,*,-585.3750,27.2500,-81.5000,*,*,*,*,*,*,
*,495.81675000,4.5264,17.0053,-0.4441,-4.8462,-19.0000,2.3846,-587.3750,71.3125,-64.6875,*,*,*,*,*,*,
*,495.83668750,5.2973,13.9514,2.3955,*,*,*,-588.3125,77.1875,-38.8125,*,*,*,*,*,*,
*,495.85659375,2.9605,14.0233,2.3703,-3.6154,-18.6923,-4.0769,-627.8125,44.8125,-20.8750,*,*,*,*,*,*,
*,495.87653125,1.9058,13.7946,-7.7395,*,*,*,-615.8750,-52.3125,-20.9375,*,*,*,*,*,*,
*,495.89643750,2.6433,7.6940,-17.6745,-3.6154,-15.0769,-12.3846,-449.6250,-82.6250,-6.1250,*,*,*,*,*,*,
*,495.91637500,2.1932,1.4378,-14.8445,*,*,*,-208.8125,-18.7500,19.5625,*,*,*,*,*,*,
*,495.93628125,-1.0367,-1.2271,-5.5715,-3.6154,-8.0000,-16.6923,-45.1250,20.1250,11.5000,*,*,*,*,*,*,
*,495.95621875,1.2139,-1.9310,-0.1999,*,*,*,20.6875,18.8125,-13.0625,*,*,*,*,*,*,
*,495.97612500,3.0683,-1.3480,5.5894,-4.5385,-7.6923,-16.6923,40.0000,39.1875,-8.7500,*,*,*,*,*,*,
*,495.99606250,2.1788,-0.6524,8.5116,*,*,*,15.9375,3.0625,10.0000,*,*,*,*,*,*,
*,496.01600000,1.3025,-1.6820,7.3396,-3.3077,-7.6923,-17.3077,-10.4375,-28.5000,11.1250,*,*,*,*,*,*,
*,496.03590625,0.8727,-2.4757,5.8672,*,*,*,-16.6875,-3.1875,1.5625,*,*,*,*,*,*,
*,496.05584375,1.4426,-2.5092,5.8468,-3.3077,-7.3846,-17.3077,-8.5625,34.5000,-5.5625,*,*,*,*,*,*,
*,496.07575000,1.4653,-2.3248,6.5855,*,*,*,-0.5625,42.7500,0.9375,*,*,*,*,*,*,
*,496.09568750,0.8667,-2.5056,7.0284,-3.3077,-8.0000,-17.0000,6.4375,31.3125,5.8125,*,*,*,*,*,*,
*,496.11562500,0.7542,-2.7163,7.3217,*,*,*,11.5625,17.0000,6.1875,*,*,*,*,*,*,
*,496.13553125,0.6381,-1.9621,7.6401,-3.0000,-8.0000,-17.0000,24.0625,2.8125,7.5625,*,*,*,*,*,*,
*,496.15546875,0.2897,-1.3396,7.0859,*,*,*,41.2500,-15.5000,2.5625,*,*,*,*,*,*,
*,496.17537500,0.9637,-1.2857,7.4510,-3.6154,-8.3077,-16.6923,66.5000,-1.8125,-3.0000,*,*,*,*,*,*,
*,496.19531250,2.0196,-0.9960,10.2834,*,*,*,75.3750,36.5000,-0.5000,*,*,*,*,*,*,
*,496.21521875,1.4090,-0.3651,12.5592,-1.7692,-8.0000,-16.7692,52.1875,48.3750,13.3750,*,*,*,*,*,*,
*,496.23515625,-0.1868,-0.1197,12.6094,*,*,*,22.0000,5.3750,11.4375,*,*,*,*,*,*,
*,496.25506250,0.2729,-0.3579,10.2511,-2.0769,-9.8462,-17.3846,3.0000,-18.3125,1.1250,*,*,*,*,*,*,
*,496.27496875,0.7602,-0.8416,9.6382,*,*,*,7.9375,5.4375,-2.8750,*,*,*,*,*,*,
*,496.29490625,1.1816,-0.7698,10.6856,-3.0000,-8.9231,-16.0769,10.8750,12.2500,-1.9375,*,*,*,*,*,*,
*,496.31484375,0.8500,-0.7338,11.0089,*,*,*,4.5000,-1.1875,6.5625,*,*,*,*,*,*,
*,496.33475000,0.3903,-0.6333,10.1661,-3.0000,-9.2308,-16.0769,-1.3125,-17.6250,6.0000,*,*,*,*,*,*,
*,496.35468750,0.3460,-0.6788,9.1796,*,*,*,4.1250,-14.1250,-1.2500,*,*,*,*,*,*,
*,496.37459375,0.8344,-0.6189,9.9051,-3.0000,-9.5385,-16.1538,14.1250,1.8750,-8.6250,*,*,*,*,*,*,
*,496.39453125,1.6473,-0.2873,10.7120,*,*,*,13.1875,10.6875,-7.8125,*,*,*,*,*,*,
*,496.41446875,1.2642,-0.1508,11.0987,-3.0000,-9.8462,-16.4615,5.8125,4.5000,1.2500,*,*,*,*,*,*,
*,496.43440625,0.6165,-0.1568,10.8137,*,*,*,-0.7500,-6.2500,1.6875,*,*,*,*,*,*,
*,496.45431250,0.4609,-0.1149,10.0308,-2.0769,-10.7692,-16.4615,-4.0000,4.6875,-4.1875,*,*,*,*,*,*,
*,496.47425000,0.8009,-0.1461,10.3337,*,*,*,0.0000,15.1875,-9.3750,*,*,*,*,*,*,
*,496.49418750,1.1062,-0.1880,10.6078,-2.6923,-10.1538,-16.1538,-2.1250,8.3125,-7.9375,*,*,*,*,*,*,
*,496.51412500,1.0451,-0.2993,10.4331,*,*,*,-6.1250,-1.3750,-4.1250,*,*,*,*,*,*,
*,496.53406250,0.7734,-0.3328,10.1685,-2.6923,-10.1538,-16.7692,-10.7500,-4.0625,-3.3750,*,*,*,*,*,*,
*,496.55400000,0.9553,-0.4370,9.3365,*,*,*,-11.4375,-5.4375,-4.4375,*,*,*,*,*,*,
*,496.57393750,1.1804,-0.4896,8.9821,-2.0769,-9.5385,-16.7692,-4.8750,-4.0000,-4.1250,*,*,*,*,*,*,
*,496.59387500,1.2067,-0.5327,9.1078,*,*,*,3.0000,-1.7500,-3.4375,*,*,*,*,*,*,
*,496.61381250,1.3300,-0.4046,9.4370,-2.6923,-9.8462,-16.1538,7.1875,-1.6250,-1.1250,*,*,*,*,*,*,
*,496.63375000,1.0092,-0.4465,9.6214,*,*,*,8.1875,-6.0625,0.1250,*,*,*,*,*,*,
*,496.65368750,1.0128,-0.4477,9.4203,-2.6923,-9.8462,-16.1538,6.6250,-4.7500,-2.1250,*,*,*,*,*,*,
*,496.67362500,1.1971,-0.2885,9.5029,*,*,*,9.3750,0.1875,-2.4375,*,*,*,*,*,*,
*,496.69356250,1.0798,-0.2095,10.0715,-2.6923,-9.8462,-16.1538,11.3750,0.0000,0.0000,*,*,*,*,*,*,
*,496.71350000,0.8332,-0.2310,10.3971,*,*,*,7.7500,-1.3750,0.6250,*,*,*,*,*,*,
*,496.73343750,0.9924,-0.2526,9.8453,-2.0769,-9.5385,-16.4615,3.0625,-2.9375,-1.0625,*,*,*,*,*,*,
*,496.75337500,1.3025,-0.2083,9.5735,*,*,*,6.3125,-4.0000,0.2500,*,*,*,*,*,*,
*,496.77331250,0.8488,-0.1580,10.0164,-3.0000,-9.8462,-16.1538,11.4375,-8.1875,2.3125,*,*,*,*,*,*,
*,496.79325000,0.7793,-0.2191,10.1769,*,*,*,10.6875,-6.6875,-1.6875,*,*,*,*,*,*,
*,496.81318750,0.9170,-0.1820,10.5025,-1.7692,-10.7692,-16.4615,6.9375,4.7500,-5.3750,*,*,*,*,*,*,
*,496.83312500,1.3348,-0.1113,10.2643,*,*,*,2.6250,4.3750,-4.6875,*,*,*,*,*,*,
*,496.85306250,1.0726,-0.1293,10.0188,-3.0000,-10.7692,-16.4615,5.4375,-4.2500,0.8125,*,*,*,*,*,*,
*,496.87300000,0.4573,-0.1724,9.8465,*,*,*,9.0625,-10.3750,2.0625,*,*,*,*,*,*,
*,496.89293750,0.3304,-0.3125,10.0093,-2.6923,-9.8462,-16.4615,11.7500,-4.5625,-4.6875,*,*,*,*,*,*,
*,496.91287500,0.8344,-0.1951,10.2858,*,*,*,10.2500,6.7500,-9.9375,*,*,*,*,*,*,
*,496.93281250,1.1409,-0.0060,10.4462,-2.0769,-10.1538,-15.5385,6.3125,4.5625,-6.8125,*,*,*,*,*,*,
*,496.95275000,0.5830,-0.0479,10.4366,*,*,*,3.2500,-5.8750,-2.7500,*,*,*,*,*,*,
*,496.97268750,0.6477,-0.0754,9.8465,-3.0000,-10.7692,-16.7692,-0.7500,-5.8125,-7.1250,*,*,*,*,*,*,
*,496.99262500,1.0607,0.0443,9.6609,*,*,*,1.3750,2.8125,-10.9375,*,*,*,*,*,*,
*,497.01256250,1.4473,0.0814,9.6597,-2.0769,-11.0769,-15.5385,4.6250,1.0000,-9.6875,*,*,*,*,*,*,
*,497.03250000,1.4797,0.1173,9.7447,*,*,*,7.4375,-4.5000,-5.1875,*,*,*,*,*,*,
*,497.05243750,1.2690,0.1281,9.7567,-3.6154,-10.7692,-16.1538,7.8750,-6.0000,-3.6875,*,*,*,*,*,*,
*,497.07237500,1.2498,0.1856,9.8596,*,*,*,9.3125,-3.0000,-4.6250,*,*,*,*,*,*,
*,497.09231250,1.2833,0.2382,10.1122,-2.0769,-10.7692,-15.5385,9.2500,1.2500,-5.2500,*,*,*,*,*,*,
*,497.11225000,1.2354,0.2670,10.4486,*,*,*,5.4375,2.5625,-5.4375,*,*,*,*,*,*,
*,497.13218750,1.1600,0.2310,10.4247,-3.0000,-11.0769,-15.5385,0.4375,1.8125,-3.8750,*,*,*,*,*,*,
*,497.15212500,0.8404,0.2622,10.0428,*,*,*,-1.6250,-3.0625,-2.5000,*,*,*,*,*,*,
*,497.17206250,0.6117,0.1975,9.9315,-2.6923,-11.3846,-15.5385,0.8125,-3.0000,-4.1250,*,*,*,*,*,*,
*,497.19200000,0.6417,0.1042,10.2212,*,*,*,1.0000,2.5625,-7.1250,*,*,*,*,*,*,
*,497.21193750,0.6680,0.0682,10.3193,-1.1538,-11.3846,-15.5385,-2.1250,1.0625,-8.5625,*,*,*,*,*,*,
*,497.23187500,0.6405,0.0599,9.9949,*,*,*,-4.1250,-3.6250,-9.1875,*,*,*,*,*,*,
*,497.25181250,0.5016,-0.1065,9.7112,-2.6923,-10.7692,-15.2308,-2.8750,-6.2500,-10.3750,*,*,*,*,*,*,
*,497.27175000,0.3723,-0.0862,9.8417,*,*,*,-0.6875,-3.4375,-12.3750,*,*,*,*,*,*,
*,497.29168750,0.2969,-0.1065,10.0476,-2.6923,-11.3846,-15.5385,-1.8750,-2.5625,-15.8125,*,*,*,*,*,*,
*,497.31162500,0.3232,-0.1652,10.0284,*,*,*,-3.1875,-3.6875,-19.0000,*,*,*,*,*,*,
*,497.33156250,0.1832,-0.3891,9.9255,-2.0769,-11.3846,-16.1538,-4.5625,-7.5000,-20.7500,*,*,*,*,*,*,
*,497.35150000,0.2466,-0.5974,9.6166,*,*,*,-5.1250,-11.6875,-26.2500,*,*,*,*,*,*,
*,497.37143750,0.4346,-0.5603,9.5113,-2.0769,-11.0769,-15.2308,-3.4375,-10.1875,-30.5000,*,*,*,*,*,*,
*,497.39137500,0.4777,-0.6955,9.7591,*,*,*,-2.8750,-12.5000,-32.6250,*,*,*,*,*,*,
*,497.41134375,0.4178,-0.8105,9.8680,-1.7692,-12.0000,-16.4615,-6.1250,-26.0625,-36.6250,*,*,*,*,*,*,
*,497.43125000,0.6249,-0.9781,9.2491,*,*,*,-10.1250,-41.5625,-44.8125,*,*,*,*,*,*,
*,497.45118750,0.8117,-0.9661,8.6565,-2.0769,-11.6923,-16.1538,-10.9375,-53.3750,-53.1250,*,*,*,*,*,*,
*,497.47112500,1.2067,-0.9302,8.2543,*,*,*,-10.7500,-64.5625,-66.8125,*,*,*,*,*,*,
*,497.49106250,3.7111,-0.8440,7.8329,-1.4615,-11.3846,-16.1538,-11.5625,-68.6250,-86.0625,*,*,*,*,*,*,
*,497.51100000,8.5595,-0.1951,7.1996,*,*,*,-12.4375,-73.7500,-94.6250,*,*,*,*,*,*,
*,497.53093750,13.9059,1.1648,5.1752,-2.0769,-11.3846,-15.2308,-1.6875,-115.5000,-78.5000,*,*,*,*,*,*,
*,497.55087500,22.4870,1.9980,2.5607,*,*,*,36.8750,-156.3125,-54.9375,*,*,*,*,*,*,
*,497.57081250,35.3012,5.4506,-0.0192,-1.7692,-11.3846,-16.4615,75.6875,-62.5625,-12.0625,*,*,*,*,*,*,
*,497.59075000,39.2254,9.5448,3.5818,*,*,*,106.5000,168.5625,129.2500,*,*,*,*,*,*,
*,497.61068750,37.8631,15.5676,10.9586,-2.6923,-11.6923,-15.4615,78.3750,231.9375,368.5625,*,*,*,*,*,*,
*,497.63062500,27.4180,22.8007,6.1102,*,*,*,13.8750,106.4375,580.8750,*,*,*,*,*,*,
*,497.65056250,21.3019,30.8610,2.3524,-3.3077,-11.6923,-15.1538,12.0000,95.8125,769.0625,*,*,*,*,*,*,
*,497.67050000,2.3488,39.2242,-1.6616,*,*,*,25.5625,149.0625,948.1875,*,*,*,*,*,*,
*,497.69043750,-32.0785,37.5243,4.5240,-4.5385,-12.6154,-14.2308,94.6875,-12.6875,872.1250,*,*,*,*,*,*,
*,497.71037500,-20.6291,29.1527,10.4738,*,*,*,199.1875,-235.9375,537.2500,*,*,*,*,*,*,
*,497.73031250,-20.3968,26.9344,16.0871,-8.5385,-8.0000,-14.5385,231.5000,-29.6250,386.4375,*,*,*,*,*,*,
*,497.75025000,-27.0565,19.7157,35.0965,*,*,*,163.6875,118.9375,249.9375,*,*,*,*,*,*,
*,497.77018750,-21.0241,15.7040,27.4647,-10.3846,-2.6923,-15.1538,-72.3125,-58.1250,81.6250,*,*,*,*,*,*,
*,497.79012500,-16.7108,15.1953,11.7990,*,*,*,-164.9375,-122.5000,-19.5625,*,*,*,*,*,*,
*,497.81006250,-13.8952,13.9826,4.0248,-11.3077,-1.7692,-13.9231,-120.3125,-135.8125,-101.1875,*,*,*,*,*,*,
*,497.83000000,-12.7148,12.6597,3.2550,*,*,*,-64.3750,-110.4375,-175.1875,*,*,*,*,*,*,
*,497.84993750,-18.8681,13.0512,5.1082,-11.6923,-0.8462,-13.3077,-30.6250,-98.6250,-287.5625,*,*,*,*,*,*,
*,497.86987500,-24.7915,14.5380,10.5707,*,*,*,-24.5625,-102.5000,-524.1875,*,*,*,*,*,*,
*,497.88981250,-13.4486,18.3485,15.6693,-13.5385,-0.5385,-12.3846,-64.3750,46.3125,-757.5625,*,*,*,*,*,*,
*,497.90975000,-0.2634,22.5134,17.9235,*,*,*,-184.3750,304.6250,-867.0000,*,*,*,*,*,*,
*,497.92965625,23.1323,20.9834,7.9681,-13.6154,-2.3846,-11.1538,-163.5000,310.3750,-828.0000,*,*,*,*,*,*,
*,497.94959375,39.2254,11.6362,-2.4948,*,*,*,-73.2500,131.3125,-508.5625,*,*,*,*,*,*,
*,497.96953125,30.0218,7.8173,1.2163,-10.1538,-8.2308,-11.7692,100.4375,-114.7500,-132.1250,*,*,*,*,*,*,
*,497.98946875,13.2679,7.8305,10.1781,*,*,*,161.8125,-174.3125,7.1875,*,*,*,*,*,*,
*,498.00940625,7.0404,7.2989,15.8058,-1.8462,-12.5385,-15.1538,108.6875,5.5625,-35.5625,*,*,*,*,*,*,
*,498.02934375,6.6585,6.5531,18.9770,*,*,*,7.5625,125.5625,-82.8750,*,*,*,*,*,*,
*,498.04928125,8.4015,4.7921,14.2483,-2.1538,-13.1538,-14.5385,-83.2500,84.5625,-61.8125,*,*,*,*,*,*,
*,498.06921875,5.4709,2.2722,9.8405,*,*,*,-90.3750,19.0625,-13.1250,*,*,*,*,*,*,
*,498.08915625,3.1700,1.6245,7.5252,-1.5385,-15.0000,-13.3077,-39.9375,-11.3125,7.9375,*,*,*,*,*,*,
*,498.10909375,2.4493,2.3679,10.2212,*,*,*,30.3750,0.1250,8.0000,*,*,*,*,*,*,
*,498.12903125,1.7921,2.1010,13.1470,-0.9231,-14.3846,-14.5385,19.1875,8.0000,8.7500,*,*,*,*,*,*,
*,498.14893750,1.8831,1.8376,12.5687,*,*,*,-23.2500,-15.6250,3.7500,*,*,*,*,*,*,
*,498.16887500,1.5730,1.7095,9.8153,0.0000,-13.7692,-14.2308,-53.0000,-34.3125,9.6250,*,*,*,*,*,*,
*,498.18881250,1.3683,1.3396,8.1357,*,*,*,-35.2500,-39.5000,14.1875,*,*,*,*,*,*,
*,498.20875000,1.0966,0.8260,8.5535,-0.3077,-14.6923,-13.9231,-18.1250,-21.4375,23.9375,*,*,*,*,*,*,
*,498.22868750,0.7075,0.6572,10.1194,*,*,*,-22.0625,-1.6875,31.5625,*,*,*,*,*,*,
*,498.24862500,-0.9781,0.6345,10.7036,-1.0000,-13.7692,-14.2308,-28.6250,-8.8125,25.3125,*,*,*,*,*,*,
*,498.26856250,-0.4812,0.7386,9.6621,*,*,*,-24.5625,-20.8125,8.5625,*,*,*,*,*,*,
*,498.28850000,0.0227,0.8703,9.2850,-1.6154,-13.1538,-14.2308,-18.4375,-3.7500,1.0625,*,*,*,*,*,*,
*,498.30843750,1.0738,0.7051,9.5376,*,*,*,-9.2500,-1.6875,4.2500,*,*,*,*,*,*,
*,498.32837500,1.5216,0.5938,10.8245,-1.3077,-12.8462,-14.5385,-13.0000,-6.1875,16.3750,*,*,*,*,*,*,
*,498.34831250,0.5327,0.5962,10.5983,*,*,*,-24.8750,-16.1250,25.2500,*,*,*,*,*,*,
*,498.36825000,0.0120,0.5124,9.7459,-1.6154,-13.4615,-14.5385,-30.6250,-15.5625,15.7500,*,*,*,*,*,*,
*,498.38818750,0.4477,0.4058,9.3089,*,*,*,-29.6250,2.9375,6.0625,*,*,*,*,*,*,
*,498.40815625,0.9565,0.3951,9.0312,-1.9231,-13.1538,-14.5385,-22.0625,3.5625,4.8750,*,*,*,*,*,*,
*,498.42806250,1.1840,0.1868,9.0767,*,*,*,-10.5625,-3.3125,11.0625,*,*,*,*,*,*,
*,498.44800000,0.4884,0.1891,9.5113,-1.6154,-11.0000,-15.4615,-1.1250,-9.0625,17.0000,*,*,*,*,*,*,
*,498.46793750,0.4896,0.0263,9.9135,*,*,*,0.4375,-15.8125,14.7500,*,*,*,*,*,*,
*,498.48787500,0.2610,-0.0599,10.0631,-2.8462,-11.9231,-15.1538,-6.6250,-4.8125,11.0000,*,*,*,*,*,*,
*,498.50781250,0.6896,0.1161,9.6908,*,*,*,-13.8750,0.1875,3.3750,*,*,*,*,*,*,
*,498.52775000,1.1193,0.1592,9.2311,-1.9231,-11.3077,-14.8462,-12.9375,2.6250,4.9375,*,*,*,*,*,*,
*,498.54768750,1.1540,0.3771,9.3413,*,*,*,-4.0625,-7.5625,12.3125,*,*,*,*,*,*,
*,498.56762500,-0.1257,0.1173,9.6166,-1.9231,-11.9231,-14.5385,-2.9375,-14.1875,15.8125,*,*,*,*,*,*,
*,498.58756250,-0.1461,0.0443,9.5005,*,*,*,-5.0000,-5.7500,2.3125,*,*,*,*,*,*,
*,498.60750000,0.8105,0.1233,9.4670,-3.7692,-11.0000,-16.0769,-7.1250,12.0625,-5.1250,*,*,*,*,*,*,
